Sort Name,Array Name, Array Size, Time, Comparisons
Standard Quick sort,Random strings,100,0,16804
Standard Quick sort,Random strings,200,1,45370
Standard Quick sort,Random strings,300,2,82420
Standard Quick sort,Random strings,400,4,127837
Standard Quick sort,Random strings,500,8,187524
Standard Quick sort,Random strings,600,9,254413
Standard Quick sort,Random strings,700,15,332597
Standard Quick sort,Random strings,800,16,420535
Standard Quick sort,Random strings,900,20,517190
Standard Quick sort,Random strings,1000,25,624261
Standard Quick sort,Random strings,1100,29,742363
Standard Quick sort,Random strings,1200,35,871154
Standard Quick sort,Random strings,1300,41,1005408
Standard Quick sort,Random strings,1400,48,1154071
Standard Quick sort,Random strings,1500,67,1312331
Standard Quick sort,Random strings,1600,68,1480486
Standard Quick sort,Random strings,1700,69,1657643
Standard Quick sort,Random strings,1800,80,1844505
Standard Quick sort,Random strings,1900,87,2042630
Standard Quick sort,Random strings,2000,141,2247422
Standard Quick sort,Random strings,2100,128,2466964
Standard Quick sort,Random strings,2200,138,2694149
Standard Quick sort,Random strings,2300,141,2932523
Standard Quick sort,Random strings,2400,187,3180217
Standard Quick sort,Random strings,2500,192,3436596
Standard Quick sort,Random strings,2600,233,3705679
Standard Quick sort,Random strings,2700,191,3983407
Standard Quick sort,Random strings,2800,197,4269964
Standard Quick sort,Random strings,2900,208,4567378
Standard Quick sort,Random strings,3000,267,4875581
Standard Quick sort,Nearly sorted strings,100,0,9447
Standard Quick sort,Nearly sorted strings,200,0,19675
Standard Quick sort,Nearly sorted strings,300,0,29752
Standard Quick sort,Nearly sorted strings,400,1,42062
Standard Quick sort,Nearly sorted strings,500,1,52561
Standard Quick sort,Nearly sorted strings,600,2,84240
Standard Quick sort,Nearly sorted strings,700,2,74013
Standard Quick sort,Nearly sorted strings,800,2,90381
Standard Quick sort,Nearly sorted strings,900,2,103945
Standard Quick sort,Nearly sorted strings,1000,2,108514
Standard Quick sort,Nearly sorted strings,1100,3,139758
Standard Quick sort,Nearly sorted strings,1200,3,150335
Standard Quick sort,Nearly sorted strings,1300,4,158013
Standard Quick sort,Nearly sorted strings,1400,4,163435
